image_path,emotion
0.jpg,sad
1.jpg,surprise
10.jpg,anger
100.jpg,neutral
1000.jpg,surprise
1001.jpg,happy
1002.jpg,neutral
1003.jpg,sad
1004.jpg,neutral
1005.jpg,anger
1006.jpg,anger
1007.jpg,neutral
1008.jpg,neutral
1009.jpg,neutral
101.jpg,fear
1010.jpg,fear
1011.jpg,surprise
1012.jpg,happy
1013.jpg,surprise
1014.jpg,happy
1015.jpg,happy
1016.jpg,neutral
1017.jpg,happy
1018.jpg,neutral
1019.jpg,fear
102.jpg,happy
1020.jpg,anger
1021.jpg,neutral
1022.jpg,neutral
1023.jpg,neutral
1024.jpg,fear
1025.jpg,sad
1026.jpg,neutral
1027.jpg,neutral
1028.jpg,anger
1029.jpg,sad
103.jpg,neutral
1030.jpg,neutral
1031.jpg,anger
1032.jpg,neutral
1033.jpg,neutral
1034.jpg,anger
1035.jpg,surprise
1036.jpg,anger
1037.jpg,surprise
1038.jpg,fear
1039.jpg,contempt
104.jpg,anger
1040.jpg,sad
1041.jpg,happy
1042.jpg,uncertain
1043.jpg,happy
1044.jpg,anger
1045.jpg,sad
1046.jpg,anger
1047.jpg,anger
1048.jpg,anger
1049.jpg,surprise
105.jpg,anger
1050.jpg,anger
1051.jpg,fear
1052.jpg,neutral
1053.jpg,neutral
1054.jpg,anger
1055.jpg,sad
1056.jpg,neutral
1057.jpg,sad
1058.jpg,neutral
1059.jpg,contempt
106.jpg,sad
1060.jpg,neutral
1061.jpg,neutral
1062.jpg,happy
1063.jpg,surprise
1064.jpg,anger
1065.jpg,contempt
1066.jpg,anger
1067.jpg,anger
1068.jpg,anger
1069.jpg,anger
107.jpg,fear
1070.jpg,sad
1071.jpg,fear
1072.jpg,neutral
1073.jpg,anger
1074.jpg,sad
1075.jpg,neutral
1076.jpg,uncertain
1077.jpg,anger
1078.jpg,happy
1079.jpg,anger
108.jpg,anger
1080.jpg,contempt
1081.jpg,neutral
1082.jpg,sad
1083.jpg,anger
1084.jpg,surprise
1085.jpg,surprise
1086.jpg,anger
1087.jpg,anger
1088.jpg,surprise
1089.jpg,happy
109.jpg,happy
1090.jpg,happy
1091.jpg,surprise
1092.jpg,happy
1093.jpg,sad
1094.jpg,anger
1095.jpg,uncertain
1096.jpg,happy
1097.jpg,happy
1098.jpg,anger
1099.jpg,fear
11.jpg,anger
110.jpg,fear
1100.jpg,happy
1101.jpg,contempt
1102.jpg,surprise
1103.jpg,anger
1104.jpg,surprise
1105.jpg,surprise
1106.jpg,surprise
1107.jpg,happy
1108.jpg,fear
1109.jpg,happy
111.jpg,happy
1110.jpg,fear
1111.jpg,anger
1112.jpg,happy
1113.jpg,fear
1114.jpg,anger
1115.jpg,sad
1116.jpg,neutral
1117.jpg,surprise
1118.jpg,anger
1119.jpg,surprise
112.jpg,surprise
1120.jpg,sad
1121.jpg,anger
1122.jpg,fear
1123.jpg,happy
1124.jpg,neutral
1125.jpg,fear
1126.jpg,fear
1127.jpg,neutral
1128.jpg,surprise
1129.jpg,happy
113.jpg,surprise
1130.jpg,sad
1131.jpg,uncertain
1132.jpg,neutral
1133.jpg,fear
1134.jpg,neutral
1135.jpg,surprise
1136.jpg,uncertain
1137.jpg,sad
1138.jpg,fear
1139.jpg,anger
114.jpg,happy
1140.jpg,sad
1141.jpg,happy
1142.jpg,sad
1143.jpg,neutral
1144.jpg,happy
1145.jpg,neutral
1146.jpg,surprise
1147.jpg,sad
1148.jpg,neutral
1149.jpg,fear
115.jpg,surprise
1150.jpg,anger
1151.jpg,anger
1152.jpg,anger
1153.jpg,uncertain
1154.jpg,uncertain
1155.jpg,sad
1156.jpg,surprise
1157.jpg,surprise
1158.jpg,surprise
1159.jpg,sad
116.jpg,happy
1160.jpg,happy
1161.jpg,sad
1162.jpg,fear
1163.jpg,sad
1164.jpg,surprise
1165.jpg,happy
1166.jpg,uncertain
1167.jpg,sad
1168.jpg,neutral
1169.jpg,sad
117.jpg,happy
1170.jpg,anger
1171.jpg,neutral
1172.jpg,happy
1173.jpg,anger
1174.jpg,neutral
1175.jpg,anger
1176.jpg,neutral
1177.jpg,surprise
1178.jpg,happy
1179.jpg,sad
118.jpg,sad
1180.jpg,surprise
1181.jpg,anger
1182.jpg,neutral
1183.jpg,happy
1184.jpg,happy
1185.jpg,neutral
1186.jpg,anger
1187.jpg,sad
1188.jpg,contempt
1189.jpg,sad
119.jpg,happy
1190.jpg,happy
1191.jpg,fear
1192.jpg,fear
1193.jpg,anger
1194.jpg,happy
